time_s,i_I172_Iout_A,i_I56_Iout_A,v_vp_res_V,v_vpre1_res_V
0.0977611034,-1.7628699e-05,-1.36571499e-05,0.0,0.0
0.0977611696,-1.7477304799999997e-05,-1.36571499e-05,0.0,0.0
0.097761265,-1.7264645e-05,-1.36571499e-05,0.0,0.0
0.09776140280000001,-1.6969749499999997e-05,-1.36571499e-05,0.0,0.0
0.09776160190000001,-1.65694928e-05,-1.36571499e-05,0.0,0.0
0.0977618897,-1.60460539e-05,-1.36571499e-05,0.0,0.0
0.0977623055,-1.54059015e-05,-1.36571499e-05,0.0,0.0
0.0977629065,-1.4713492099999999e-05,-1.36571499e-05,0.0,0.0
0.0977637756,-1.41143201e-05,-1.36571499e-05,0.0,0.0
0.0977650324,-1.37548055e-05,-1.36571499e-05,0.0,0.0
0.0977667957,-1.36680458e-05,-1.36571499e-05,0.0,0.0
0.0977687398,-1.36572227e-05,-1.36571499e-05,0.0,0.0
0.09777123880000001,-1.3655933599999999e-05,-1.36571499e-05,0.0,0.0
0.0977755846,-1.3656642299999999e-05,-1.36571499e-05,0.0,0.0
0.09778194670000001,-1.36579651e-05,-1.36571499e-05,0.0,0.0
0.0977912042,-1.36559439e-05,-1.36571499e-05,0.0,0.0
0.0978045662,-1.3658476999999998e-05,-1.36571499e-05,0.0,0.0
0.09782371379999999,-1.36557324e-05,-1.36571499e-05,0.0,0.0
0.09785199210000001,-1.3658602699999998e-05,-1.36571499e-05,0.0,0.0
0.0978940856,-1.36556618e-05,-1.36571499e-05,0.0,0.0
0.0979602352,-1.3658646399999999e-05,-1.36571499e-05,0.0,0.0
0.09809253420000001,-1.3655632999999999e-05,-1.36571499e-05,0.0,0.0
0.09835713230000001,-1.36586525e-05,-1.36571499e-05,0.0,0.0
0.09880008220000001,-1.36556344e-05,-1.36571499e-05,0.0,0.0
0.09968598199999999,-1.3658653899999998e-05,-1.36571499e-05,0.0,0.0
0.1014577816,-1.36556295e-05,-1.36571499e-05,0.0,0.0
0.1049327748,-1.36586555e-05,-1.36571499e-05,0.0,0.0
0.11188276109999999,-1.3655628699999998e-05,-1.36571499e-05,0.0,0.0
0.1257827337,-1.3658655299999999e-05,-1.36571499e-05,0.0,0.0
0.1265589236,-1.36571496e-05,-1.36571499e-05,0.0,0.0
0.1265589237,-1.36571496e-05,-1.36571499e-05,0.0,0.0150083345
0.1265589239,-1.36571496e-05,-1.36571499e-05,0.0,0.0450250037
0.1265589242,-1.36571496e-05,-1.36571499e-05,0.0,0.10505834210000001
0.1265589249,-1.36571496e-05,-1.36571499e-05,0.0,0.2251250187
0.12655892540000002,-1.3657149499999999e-05,-1.36571499e-05,0.0,0.3281824764
0.12655892570000002,-1.3657149499999999e-05,-1.36571499e-05,0.0,0.3861511313
0.1265589261,-1.3657149499999999e-05,-1.36571499e-05,0.0,0.44742692570000003
0.1265589264,-1.3657149499999999e-05,-1.36571499e-05,0.0,0.49706767230000004
0.1265589267,-1.3657149999999998e-05,-1.36571499e-05,0.0,0.5551800222000001
0.1265589269,-1.3657204e-05,-1.36571499e-05,0.0,0.5995305106
0.126558927,-1.36572808e-05,-1.36571499e-05,0.0,0.6171697805999999
0.1265589272,-1.36574414e-05,-1.36571499e-05,0.0,0.6411866041
0.1265589272,-1.3657487299999999e-05,-1.36571499e-05,0.0,0.6477360351
0.12655892729999998,-1.36575792e-05,-1.36571499e-05,0.0,0.6608348972
0.1265589274,-1.3657762599999999e-05,-1.36571499e-05,0.0,0.6867798733
0.1265589276,-1.36580318e-05,-1.36571499e-05,0.0,0.7246524185
0.126558928,-1.36585956e-05,-1.36571499e-05,0.0,0.8003975087
0.1265589287,-1.3660653e-05,-1.36571499e-05,0.0,0.9259201211
0.1265589293,-1.36638692e-05,-1.36571499e-05,0.0,1.0208337
0.1265589299,-1.3668969e-05,-1.36571499e-05,0.0,1.1384403
0.1265589305,-1.36737778e-05,-1.36571499e-05,0.0,1.2480616
0.1265589311,-1.3678456399999999e-05,-1.36571499e-05,0.0,1.3547365
0.1265589323,-1.3687825999999999e-05,-1.36571499e-05,0.0,1.5680862
0.126558933,-1.3692917599999998e-05,-1.36571499e-05,0.0,1.6840431
0.1265589336,-1.3698008299999998e-05,-1.36571499e-05,0.0,1.8
0.1265589337,-1.36986671e-05,-1.36571499e-05,0.0,1.8
0.1265589339,-1.3699985699999998e-05,-1.36571499e-05,0.0,1.8
0.1265589341,-1.3701963299999999e-05,-1.36571499e-05,0.0,1.8
0.1265589346,-1.3705915900000001e-05,-1.36571499e-05,0.0,1.8
0.1265589356,-1.3713806299999999e-05,-1.36571499e-05,0.0,1.8
0.1265589376,-1.37295241e-05,-1.36571499e-05,0.0,1.8
0.1265589416,-1.3760711499999998e-05,-1.36571499e-05,0.0,1.8
0.1265589496,-1.3822111400000001e-05,-1.36571499e-05,0.0,1.8
0.1265589656,-1.39411576e-05,-1.36571499e-05,0.0,1.8
0.1265589976,-1.4165296899999998e-05,-1.36571499e-05,0.0,1.8
0.12655906160000002,-1.45649479e-05,-1.36571499e-05,0.0,1.8
0.1265591896,-1.5212452699999999e-05,-1.36571499e-05,0.0,1.8
0.1265594457,-1.6109120699999997e-05,-1.36571499e-05,0.0,1.8
0.1265597734,-1.6793600399999998e-05,-1.36571499e-05,0.0,1.8
0.1265601979,-1.72967426e-05,-1.36571499e-05,0.0,1.8
0.12656074280000001,-1.76283312e-05,-1.36571499e-05,0.0,1.8
0.1265615054,-1.78430285e-05,-1.36571499e-05,0.0,1.8
0.1265625599,-1.79442771e-05,-1.36571499e-05,0.0,1.8
0.1265640684,-1.79793873e-05,-1.36571499e-05,0.0,1.8
0.1265663435,-1.79852316e-05,-1.36571499e-05,0.0,1.8
0.1265699065,-1.79897968e-05,-1.36571499e-05,0.0,1.8
0.1265770325,-1.79878052e-05,-1.36571499e-05,0.0,1.8
0.1265912845,-1.79900489e-05,-1.36571499e-05,0.0,1.8
0.12661978840000002,-1.79878366e-05,-1.36571499e-05,0.0,1.8
0.1266589236,-1.79899768e-05,-1.36571499e-05,0.0,1.8
0.1266589237,-1.79878578e-05,-1.36571499e-05,0.0,1.7849916
0.1266589239,-1.79878586e-05,-1.36571499e-05,0.0,1.7549749
0.1266589242,-1.79878605e-05,-1.36571499e-05,0.0,1.6949416
0.1266589249,-1.7987863499999998e-05,-1.36571499e-05,0.0,1.5748749
0.1266589262,-1.79878626e-05,-1.36571499e-05,0.0,1.3347416
0.12665892890000002,-1.79877781e-05,-1.36571499e-05,0.0,0.8544749213
0.1266589295,-1.79877208e-05,-1.36571499e-05,0.0,0.7344082446
0.1266589309,-1.7986970899999998e-05,-1.36571499e-05,0.0,0.49427489129999996
0.1266589323,-1.79847686e-05,-1.36571499e-05,0.0,0.229933997
0.126658933,-1.79834492e-05,-1.36571499e-05,0.0,0.114966996
0.1266589333,-1.7982757899999997e-05,-1.36571499e-05,0.0,0.05748349790000001
0.1266589336,-1.79820557e-05,-1.36571499e-05,0.0,0.0
0.1266589337,-1.79818702e-05,-1.36571499e-05,0.0,0.0
0.1266589338,-1.79815703e-05,-1.36571499e-05,0.0,0.0
0.126658934,-1.7981180999999998e-05,-1.36571499e-05,0.0,0.0
0.1266589343,-1.79803935e-05,-1.36571499e-05,0.0,0.0
0.126658935,-1.79787958e-05,-1.36571499e-05,0.0,0.0
0.1266589364,-1.79755488e-05,-1.36571499e-05,0.0,0.0
0.1266589383,-1.79710807e-05,-1.36571499e-05,0.0,0.0
0.12665894090000002,-1.79649154e-05,-1.36571499e-05,0.0,0.0
0.1266589444,-1.79564209e-05,-1.36571499e-05,0.0,0.0
0.12665894960000001,-1.7943961699999997e-05,-1.36571499e-05,0.0,0.0
0.1266589572,-1.79258637e-05,-1.36571499e-05,0.0,0.0
0.1266589679,-1.7900033599999998e-05,-1.36571499e-05,0.0,0.0
0.1266589833,-1.78632666e-05,-1.36571499e-05,0.0,0.0
0.1266590055,-1.78106739e-05,-1.36571499e-05,0.0,0.0
0.1266590373,-1.7735617099999998e-05,-1.36571499e-05,0.0,0.0
0.1266590833,-1.76286989e-05,-1.36571499e-05,0.0,0.0
0.1266591494,-1.7477304700000002e-05,-1.36571499e-05,0.0,0.0
0.1266592449,-1.72646449e-05,-1.36571499e-05,0.0,0.0
0.1266593827,-1.69697493e-05,-1.36571499e-05,0.0,0.0
0.1266595818,-1.65694926e-05,-1.36571499e-05,0.0,0.0
0.1266598695,-1.60460536e-05,-1.36571499e-05,0.0,0.0
0.1266602853,-1.54059013e-05,-1.36571499e-05,0.0,0.0
0.1266608864,-1.4713491899999999e-05,-1.36571499e-05,0.0,0.0
0.12666175540000002,-1.411432e-05,-1.36571499e-05,0.0,0.0
0.12666301230000002,-1.37548055e-05,-1.36571499e-05,0.0,0.0
0.1266647756,-1.36680458e-05,-1.36571499e-05,0.0,0.0
0.1266667197,-1.36572227e-05,-1.36571499e-05,0.0,0.0
0.1266692187,-1.3655933599999999e-05,-1.36571499e-05,0.0,0.0
0.1266735644,-1.3656642299999999e-05,-1.36571499e-05,0.0,0.0
0.1266799266,-1.36579651e-05,-1.36571499e-05,0.0,0.0
0.12668918410000002,-1.36559439e-05,-1.36571499e-05,0.0,0.0
0.1267025461,-1.3658476999999998e-05,-1.36571499e-05,0.0,0.0
0.1267216937,-1.36557324e-05,-1.36571499e-05,0.0,0.0
0.126749972,-1.3658602699999998e-05,-1.36571499e-05,0.0,0.0
0.12679206550000002,-1.36556618e-05,-1.36571499e-05,0.0,0.0
0.126858215,-1.3658646399999999e-05,-1.36571499e-05,0.0,0.0
0.1269905141,-1.3655632999999999e-05,-1.36571499e-05,0.0,0.0
0.1272551122,-1.36586525e-05,-1.36571499e-05,0.0,0.0
0.1276980622,-1.36556344e-05,-1.36571499e-05,0.0,0.0
0.1285839621,-1.3658653899999998e-05,-1.36571499e-05,0.0,0.0
0.1303557619,-1.36556295e-05,-1.36571499e-05,0.0,0.0
0.1338307555,-1.36586555e-05,-1.36571499e-05,0.0,0.0
0.1407807429,-1.3655628699999998e-05,-1.36571499e-05,0.0,0.0
0.15468071760000002,-1.3658655299999999e-05,-1.36571499e-05,0.0,0.0
0.1746807176,-1.3655637e-05,-1.36571499e-05,0.0,0.0
0.19468071760000003,-1.3658662e-05,-1.36571499e-05,0.0,0.0
0.2132563537,-1.36556364e-05,-1.36571499e-05,0.0,0.0
0.2132563538,-1.3657410199999998e-05,-1.36571499e-05,0.0,0.0180000015
0.21325635399999998,-1.3657410199999998e-05,-1.36571499e-05,0.0,0.054000004500000004
0.2132563544,-1.365741e-05,-1.36571499e-05,0.0,0.1260000105
0.2132563552,-1.36574098e-05,-1.36571499e-05,0.0,0.2700000225
0.2132563556,-1.36574097e-05,-1.36571499e-05,0.0,0.3420000285
0.213256356,-1.3657409599999998e-05,-1.36571499e-05,0.0,0.4204661721
0.2132563563,-1.36574095e-05,-1.36571499e-05,0.0,0.47031156490000003
0.2132563566,-1.36574094e-05,-1.36571499e-05,0.0,0.5160209412000001
0.2132563568,-1.36574109e-05,-1.36571499e-05,0.0,0.5668180378
0.2132563569,-1.36574126e-05,-1.36571499e-05,0.0,0.5775669596
0.213256357,-1.36574459e-05,-1.36571499e-05,0.0,0.5990648031
0.21325635710000002,-1.3657467e-05,-1.36571499e-05,0.0,0.6049263992999999
0.21325635710000002,-1.365753e-05,-1.36571499e-05,0.0,0.6166495917
0.2132563572,-1.36576322e-05,-1.36571499e-05,0.0,0.6320221999000001
0.2132563573,-1.36577324e-05,-1.36571499e-05,0.0,0.6464709821
0.2132563574,-1.36578558e-05,-1.36571499e-05,0.0,0.6640645737
0.2132563576,-1.36580913e-05,-1.36571499e-05,0.0,0.6973483344
0.21325635790000003,-1.3658567899999999e-05,-1.36571499e-05,0.0,0.763915856
0.2132563586,-1.36600113e-05,-1.36571499e-05,0.0,0.8877641277
0.2132563592,-1.36629881e-05,-1.36571499e-05,0.0,0.9931414446
0.21325635980000002,-1.36672425e-05,-1.36571499e-05,0.0,1.0941419
0.21325636,-1.3668984999999998e-05,-1.36571499e-05,0.0,1.1340276
0.2132563604,-1.36724913e-05,-1.36571499e-05,0.0,1.213799
0.2132563613,-1.3679488499999999e-05,-1.36571499e-05,0.0,1.3733419
0.2132563625,-1.36888569e-05,-1.36571499e-05,0.0,1.5866709
0.2132563637,-1.3698222299999999e-05,-1.36571499e-05,0.0,1.8
0.21325636380000002,-1.36990126e-05,-1.36571499e-05,0.0,1.8
0.213256364,-1.3700594e-05,-1.36571499e-05,0.0,1.8
0.2132563643,-1.37034242e-05,-1.36571499e-05,0.0,1.8
0.2132563651,-1.3709078299999999e-05,-1.36571499e-05,0.0,1.8
0.21325636650000002,-1.37203546e-05,-1.36571499e-05,0.0,1.8
0.2132563694,-1.3742779e-05,-1.36571499e-05,0.0,1.8
0.2132563751,-1.37871231e-05,-1.36571499e-05,0.0,1.8
0.2132563865,-1.38738464e-05,-1.36571499e-05,0.0,1.8
0.2132564094,-1.4039842999999998e-05,-1.36571499e-05,0.0,1.8
0.2132564553,-1.4344928199999999e-05,-1.36571499e-05,0.0,1.8
0.21325654689999998,-1.4865914399999999e-05,-1.36571499e-05,0.0,1.8
