frequency_st_y_hz,1,17,33,49,65,81,97,113,129,145,161,177,193,209,225,241,257,273,289,305,321,337,353,369,385,401,417,433,449,465,481,497,513,529,545,561,577,593
161,0.0,0.0,8.446111739988939e-07,9.666763523977218e-07,1.6318520000982786e-06,0.0,1.199432330999811e-06,1.637531673294567e-06,2.2819129065058957e-06,2.705967270005827e-07,2.675060193600768e-06,1.317838077001532e-06,4.9891191858957965e-06,2.7932972849972067e-06,3.4570361370613123e-06,5.126029125300299e-06,2.0379367358992415e-06,4.409257051792709e-06,3.7005362820018157e-06,4.137076055697464e-06,5.876218945805311e-06,4.975647262193492e-06,5.836888365474075e-06,5.110531319793962e-06,5.209609135502641e-06,6.210670925693093e-06,5.758696070642762e-06,5.501464952407942e-06,5.233911230692612e-06,9.540364464886568e-06,1.0034382184202148e-05,9.13450849470674e-06,5.4428547563981595e-06,5.841791157608148e-06,8.299382216402017e-06,9.063182621156127e-06,5.770146650664115e-06,7.1009580932978115e-06
177,0.0,0.0,0.0,1.7435622419997854e-06,2.0549890440001163e-06,0.0,8.128376010024807e-07,2.052347700597368e-06,1.1177061237009968e-06,2.159735000039679e-06,1.9737444131999806e-06,4.464949244398428e-06,3.6708372531037844e-06,4.7535232848338155e-06,4.83480217979183e-06,3.5677397637019075e-06,6.878846564100285e-06,4.436494856994641e-06,2.4928564706111836e-06,6.089289101991469e-06,5.439712862696233e-06,5.574448082707809e-06,3.788977764609264e-06,5.219107785483108e-06,9.746602101008001e-07,6.474220737308391e-06,5.9105599766989465e-06,8.448699212204032e-06,8.842716082796444e-06,7.664610164402202e-06,4.829035140000021e-06,7.656590928150948e-06,3.082592141995244e-06,9.85365702566825e-06,1.0993928524184076e-05,8.002327382993621e-06,6.592908101400991e-06,4.467571587004302e-06
193,0.0,0.0,1.2717727019970203e-06,9.110661821977451e-07,9.978134399984962e-09,1.8740613240003645e-06,6.330108329985484e-07,1.4247498239994274e-06,2.0927871791989772e-06,3.4645572602962254e-06,2.9302983396070106e-06,3.701764369802643e-06,2.6722433366995968e-06,1.2668448357006699e-06,6.4924682630423346e-06,3.642287319003193e-06,5.369697141299028e-06,6.760994743614646e-06,5.4607770296856426e-06,2.526187152154073e-06,8.108028367108285e-06,6.225306394682704e-06,5.515885453505551e-06,4.1842750410019815e-06,5.86532837214048e-06,4.664370844444073e-06,4.256049492903854e-06,8.37945523709853e-06,4.386142863898393e-06,9.825774834895394e-06,9.327045255303132e-06,5.830755975899105e-06,9.261600587729954e-06,9.771130030507038e-06,7.2873016797616905e-06,8.251996919395808e-06,1.3637550290876502e-05,7.690465818898998e-06
209,0.0,7.419825629993715e-07,3.0644914499999843e-07,3.2175645660263705e-07,0.0,2.2129939115948796e-06,8.750295801012929e-07,8.468848799986218e-08,1.471924671295477e-06,4.236054162311334e-06,2.209149960304482e-06,2.0821530330045193e-06,6.689892130192073e-06,3.2195730869977875e-06,2.1754637289007898e-06,5.104831510802065e-06,3.5475769890044e-06,4.14086450507423e-06,6.282609644696685e-06,5.4063290225041725e-06,8.084941962301206e-06,3.49328349270199e-06,6.717012010279841e-06,6.827352048891961e-06,9.87460526339884e-06,4.019469316195144e-06,6.463952146796431e-06,9.777359589299758e-06,6.99895179449967e-06,1.119976498619892e-05,9.729134890202589e-06,7.0607196539975575e-06,8.91982451007244e-06,1.1475501887691018e-05,7.178232412797283e-06,1.4000415802199305e-05,9.831315545103804e-06,1.0635456382376805e-05
225,0.0,8.685627030002864e-07,0.0,1.211110415998834e-06,2.929790249968367e-08,6.587942489970355e-07,1.728580328999585e-06,3.8072752830034527e-06,3.5116031911522917e-06,2.580903101696529e-06,3.242114306104376e-06,6.145302044701789e-06,3.521959559995222e-06,4.898457746990731e-06,3.7131769295982788e-06,7.284940707684707e-06,4.736976496196847e-06,4.860554570999925e-06,3.6676278112505668e-06,6.6178940030964425e-06,5.084301408299508e-06,4.83407816670875e-06,8.014818024895348e-06,8.845423546259565e-06,8.886987609664399e-06,5.672369994298051e-06,8.527499259299472e-06,1.0542986270995966e-05,1.307291303708996e-05,7.362824769899559e-06,9.060744256832705e-06,9.941134288505761e-06,1.0449600517799945e-05,9.461058727495387e-06,1.5006657717899704e-05,8.68353675572326e-06,1.1926178747989902e-05,1.5666011884797534e-05
241,0.0,0.0,1.4345150580033494e-06,3.368637449985279e-07,1.7504843831981504e-06,1.847923711197491e-06,4.5874356300157347e-07,3.751135820996842e-06,2.2064944787947986e-06,2.6770680539980884e-06,3.3841082987962243e-06,4.7112908896755964e-06,2.5925358059979144e-06,5.811227167501834e-06,7.507880783103552e-06,6.70140057599739e-06,4.806970217999876e-06,3.385656782638781e-06,5.6770556867950275e-06,9.995997296700035e-06,5.501593403100524e-06,6.122667466797321e-06,7.483579840816511e-06,1.1565239409903947e-05,1.1577654264595097e-05,9.286080663594364e-06,1.1587982912997126e-05,9.576447014700217e-06,1.2516837205513027e-05,9.752251587303654e-06,8.207431062903747e-06,1.5625252262690077e-05,8.804887100102532e-06,1.0299998995552745e-05,1.0485951308994262e-05,1.2414269653188338e-05,8.96917091220327e-06,1.3121085692702603e-05
257,0.0,0.0,1.6268683347015097e-06,1.815394149002336e-06,1.2450564629959415e-06,2.9214151772474467e-06,6.625767150011952e-07,5.061601464930438e-06,4.233844886397248e-06,3.228435619194812e-06,1.80492151500046e-06,3.823148290500751e-06,4.697256929761581e-06,3.6914633414954216e-06,7.617166654494619e-06,6.8914141452021755e-06,3.03055507062095e-06,3.3515934488922977e-06,5.1460400277002565e-06,7.48845680273664e-06,8.235878319905205e-06,7.05976687043871e-06,8.051470767006274e-06,7.353097226998687e-06,1.3867675629314063e-05,6.437586093295638e-06,6.756017013629257e-06,8.536544739007543e-06,1.223483566328445e-05,8.949256895698868e-06,1.037070263790685e-05,5.139526061521554e-06,1.3319154043273311e-05,1.2149220534289247e-05,1.3155348964496456e-05,1.3555121093545818e-05,8.47841792400314e-06,7.666750997995729e-06
273,0.0,5.082729840011346e-07,3.4899940800303676e-07,2.5337568599986816e-07,1.1423995199821846e-07,2.414280905096711e-06,2.0824172819997044e-06,4.45904947889323e-06,3.141157229074231e-06,4.952974310099574e-06,3.157616691902218e-06,5.127304356005863e-06,7.420689861293364e-06,2.8099522997963864e-06,4.02112708740389e-06,5.265086898601689e-06,3.070567849500425e-06,4.664927817899165e-06,6.893211385801175e-06,4.583414002497233e-06,7.383917707203536e-06,7.949202588900596e-06,8.522138566537124e-06,1.3215468279609516e-05,5.618270667609154e-06,8.090614103396302e-06,1.3092341454813798e-05,8.0191550667485e-06,8.735521554003382e-06,1.0961840348105642e-05,1.0476365276707398e-05,1.1331373823101535e-05,1.5297291866705198e-05,1.0437329129221942e-05,1.5894383717693935e-05,1.510206416441385e-05,1.1771226364292438e-05,1.1603444094911414e-05
289,0.0,8.858962529993686e-07,2.4036557399964574e-07,2.183940910892475e-06,7.982274924001747e-07,2.551225282197423e-06,2.631650643004774e-06,7.555838399952996e-08,2.593043371802769e-06,5.557295986194714e-06,5.848366076113415e-06,1.9448007750022535e-06,1.0033541380806647e-05,4.98335789546802e-06,6.2039565350972316e-06,2.0838676230027813e-06,5.007203802897612e-06,3.221324189999139e-06,9.553570254902925e-06,1.0350790138074079e-05,6.23771091117364e-06,1.0148638408203097e-05,8.287375983300707e-06,9.126489855413594e-06,1.0148350164306298e-05,1.2008601107465443e-05,7.62544427669168e-06,1.2712571527220774e-05,1.2039399579594577e-05,8.166267272696067e-06,1.2327104665173027e-05,1.253373120071814e-05,1.4081417822690723e-05,1.306909361087766e-05,1.2203199807299271e-05,1.4849940418197716e-05,1.3576545801008075e-05,1.4156714500199091e-05
305,0.0,6.697417590005583e-07,6.832366019998704e-07,9.892349550011393e-07,1.1120815935893384e-06,1.5197921280038496e-06,3.5197980480048894e-06,1.4572442700008793e-06,3.7836410877002855e-06,6.633467017201737e-06,4.757628960664855e-06,2.7820425618012986e-06,4.387390760693354e-06,5.5866412503043435e-06,2.665408256998149e-06,6.470796267895665e-06,7.715961333005784e-06,7.432590909420659e-06,5.240405517302031e-06,8.23849376039361e-06,8.730132972485686e-06,6.939185203802926e-06,1.3036644866616222e-05,7.727091633904538e-06,1.0261392722806881e-05,1.5698057637603574e-05,1.425833326412663e-05,1.03870265813941e-05,1.4473239719138052e-05,1.063973882250229e-05,1.3934797022696586e-05,1.7912482405200266e-05,1.3128459939340795e-05,1.527515794314325e-05,9.624160977295543e-06,1.8748861017747325e-05,1.0421864486106075e-05,1.4808206835534554e-05
