time_s,i_I172_Iout_A,i_I56_Iout_A,v_vpre_res_V,v_vpre1_res_V
0.4533724503,-1.3657149799999999e-05,-1.36569593e-05,0.5990856880000001,0.0
0.4533724503,-1.3657149799999999e-05,-1.36569804e-05,0.6049295134,0.0
0.4533724504,-1.3657149799999999e-05,-1.3657043099999999e-05,0.6166171642,0.0
0.4533724505,-1.3657149799999999e-05,-1.3657145e-05,0.6319411862,0.0
0.4533724506,-1.3657149799999999e-05,-1.36572452e-05,0.6463859315,0.0
0.4533724507,-1.3657149799999999e-05,-1.3657368399999998e-05,0.6639503813000001,0.0
0.45337245080000005,-1.3657149799999999e-05,-1.36576028e-05,0.6970776321,0.0
0.4533724512,-1.3657149799999999e-05,-1.36580772e-05,0.7633321337,0.0
0.4533724519,-1.3657149799999999e-05,-1.36595153e-05,0.8870757284,0.0
0.4533724525,-1.3657149799999999e-05,-1.36624858e-05,0.9924698513,0.0
0.45337245309999996,-1.3657149799999999e-05,-1.3666734299999999e-05,1.0933857,0.0
0.45337245330000003,-1.3657149799999999e-05,-1.36684919e-05,1.1336119,0.0
0.4533724537,-1.3657149799999999e-05,-1.3672028799999998e-05,1.2140644,0.0
0.45337245460000003,-1.3657149799999999e-05,-1.36790384e-05,1.3738625,0.0
0.4533724558,-1.3657149799999999e-05,-1.3688397e-05,1.5869312,0.0
0.453372457,-1.3657149799999999e-05,-1.36977524e-05,1.8,0.0
0.4533724571,-1.3657149799999999e-05,-1.3698542899999999e-05,1.8,0.0
0.45337245730000003,-1.3657149799999999e-05,-1.3700124499999998e-05,1.8,0.0
0.4533724576,-1.3657149799999999e-05,-1.3702953199999999e-05,1.8,0.0
0.4533724583,-1.3657149799999999e-05,-1.3708604199999999e-05,1.8,0.0
0.4533724598,-1.3657149799999999e-05,-1.37198744e-05,1.8,0.0
0.4533724626,-1.3657149799999999e-05,-1.37422869e-05,1.8,0.0
0.4533724684,-1.3657149799999999e-05,-1.37866075e-05,1.8,0.0
0.4533724798,-1.3657149799999999e-05,-1.38732862e-05,1.8,0.0
0.4533725027,-1.3657149799999999e-05,-1.40392018e-05,1.8,0.0
0.4533725485,-1.3657149799999999e-05,-1.4344153399999998e-05,1.8,0.0
0.45337264,-1.3657149799999999e-05,-1.4864956899999998e-05,1.8,0.0
0.45337282320000005,-1.3657149799999999e-05,-1.5649814e-05,1.8,0.0
0.45337311970000005,-1.36571499e-05,-1.6469696999999998e-05,1.8,0.0
0.4533734903,-1.36571499e-05,-1.7059962299999997e-05,1.8,0.0
0.4533739691,-1.36571499e-05,-1.74800405e-05,1.8,0.0
0.4533746058,-1.36571499e-05,-1.7748313199999996e-05,1.8,0.0
0.45337550320000003,-1.36571499e-05,-1.7904557100000002e-05,1.8,0.0
0.453376755,-1.36571499e-05,-1.7966945299999997e-05,1.8,0.0
0.4533785549,-1.36571499e-05,-1.79844256e-05,1.8,0.0
0.45338143830000005,-1.36571499e-05,-1.79869272e-05,1.8,0.0
0.453382447,-1.36571499e-05,-1.7991434999999998e-05,1.8,0.0
0.4533824471,-1.36571499e-05,-1.79889315e-05,1.7819999,0.0
0.45338244730000005,-1.36571499e-05,-1.79889321e-05,1.7459999,0.0
0.4533824477,-1.36571499e-05,-1.7988933899999998e-05,1.6739999,0.0
0.45338244850000003,-1.36571499e-05,-1.7988935999999998e-05,1.5299999,0.0
0.45338245010000006,-1.36571499e-05,-1.79889283e-05,1.2419999,0.0
0.45338245330000004,-1.36571499e-05,-1.7988591499999996e-05,0.6659999056,0.0
0.4533824537,-1.36571499e-05,-1.79884527e-05,0.5827499186,0.0
0.4533824547,-1.36571499e-05,-1.7987587399999998e-05,0.41624994470000004,0.0
0.45338245580000003,-1.36571499e-05,-1.79856453e-05,0.2204045847,0.0
0.4533824564,-1.36571499e-05,-1.79843323e-05,0.1102022973,0.0
0.4533824567,-1.36571499e-05,-1.7983657399999997e-05,0.05510115360000001,0.0
0.453382457,-1.36571499e-05,-1.7982976399999998e-05,9.9920074e-09,0.0
0.4533824571,-1.36571499e-05,-1.79827517e-05,0.0,0.0
0.4533824572,-1.36571499e-05,-1.79824893e-05,0.0,0.0
0.45338245740000005,-1.36571499e-05,-1.7982099699999997e-05,0.0,0.0
0.45338245769999996,-1.36571499e-05,-1.7981312899999997e-05,0.0,0.0
0.4533824584,-1.36571499e-05,-1.79797197e-05,0.0,0.0
0.4533824598,-1.36571499e-05,-1.79764877e-05,0.0,0.0
0.4533824617,-1.36571499e-05,-1.79718307e-05,0.0,0.0
0.4533824644,-1.36571499e-05,-1.7965441399999998e-05,0.0,0.0
0.4533824681,-1.36571499e-05,-1.79566547e-05,0.0,0.0
0.4533824734,-1.36571499e-05,-1.79438585e-05,0.0,0.0
0.45338248119999996,-1.36571499e-05,-1.7925216899999997e-05,0.0,0.0
0.45338249230000005,-1.36571499e-05,-1.7898567199999998e-05,0.0,0.0
0.45338250820000003,-1.36571499e-05,-1.78606348e-05,0.0,0.0
0.453382531,-1.36571499e-05,-1.78064247e-05,0.0,0.0
0.4533825639,-1.36571499e-05,-1.77290286e-05,0.0,0.0
0.4533826113,-1.36571499e-05,-1.76188301e-05,0.0,0.0
0.4533826796,-1.36571499e-05,-1.74628579e-05,0.0,0.0
0.4533827781,-1.36571499e-05,-1.7243978099999998e-05,0.0,0.0
0.45338292030000005,-1.36571499e-05,-1.6940899e-05,0.0,0.0
0.4533831258,-1.36571499e-05,-1.6530534899999998e-05,0.0,0.0
0.4533834227,-1.36571499e-05,-1.5996148099999997e-05,0.0,0.0
0.4533838519,-1.36571499e-05,-1.53477082e-05,0.0,0.0
0.4533844722,-1.36571499e-05,-1.46563557e-05,0.0,0.0
0.4533853692,-1.36571499e-05,-1.4073122299999999e-05,0.0,0.0
0.4533866665,-1.36571499e-05,-1.37358287e-05,0.0,0.0
0.4533884212,-1.36571499e-05,-1.3667252899999999e-05,0.0,0.0
0.4533904037,-1.36571499e-05,-1.3656661599999999e-05,0.0,0.0
0.45339296230000004,-1.36571499e-05,-1.36572095e-05,0.0,0.0
0.4533974311,-1.36571499e-05,-1.3655851399999998e-05,0.0,0.0
0.4534039486,-1.36571499e-05,-1.3658746799999999e-05,0.0,0.0
0.4534134458,-1.36571499e-05,-1.3655296299999998e-05,0.0,0.0
0.45342711480000003,-1.36571499e-05,-1.36591082e-05,0.0,0.0
0.45344675590000005,-1.36571499e-05,-1.36551277e-05,0.0,0.0
0.4534757217,-1.36571499e-05,-1.3659201299999999e-05,0.0,0.0
0.4535190189,-1.36571499e-05,-1.3655072699999999e-05,0.0,0.0
0.45358752729999996,-1.36571499e-05,-1.36592344e-05,0.0,0.0
0.4537245441,-1.36571499e-05,-1.36550517e-05,0.0,0.0
0.4539985776,-1.36571499e-05,-1.36592396e-05,0.0,0.0
0.4540786776,-1.36571499e-05,-1.36550483e-05,0.0,0.0
0.45407867770000004,-1.36571499e-05,-1.3657351099999998e-05,0.0,0.0180000015
0.4540786779,-1.36571499e-05,-1.3657351e-05,0.0,0.054000004500000004
0.4540786783,-1.36571499e-05,-1.36573509e-05,0.0,0.1260000105
0.4540786791,-1.36571499e-05,-1.3657350799999998e-05,0.0,0.2700000225
0.4540786795,-1.36571499e-05,-1.36573507e-05,0.0,0.3420000285
0.45407868,-1.3657149799999999e-05,-1.3657350599999999e-05,0.0,0.420466292
0.4540786803,-1.3657149799999999e-05,-1.3657350499999999e-05,0.0,0.4703117398
0.45407868050000005,-1.36571499e-05,-1.3657350499999999e-05,0.0,0.5160211561
0.45407868079999997,-1.36571514e-05,-1.36573504e-05,0.0,0.5668182726000001
0.45407868079999997,-1.36571531e-05,-1.36573504e-05,0.0,0.5775672144
0.45407868100000004,-1.36571865e-05,-1.36573504e-05,0.0,0.5990650978000001
0.45407868100000004,-1.3657207499999999e-05,-1.36573504e-05,0.0,0.6049265891
0.4540786811,-1.36572706e-05,-1.3657350299999999e-05,0.0,0.6166495717
0.4540786812,-1.3657372799999999e-05,-1.3657350299999999e-05,0.0,0.6320225047
0.4540786812,-1.3657472999999999e-05,-1.3657350299999999e-05,0.0,0.6464712469
0.45407868130000006,-1.36575965e-05,-1.3657350299999999e-05,0.0,0.6640651832
0.4540786815,-1.3657832e-05,-1.3657350199999999e-05,0.0,0.6973492287
0.4540786819,-1.3658308699999999e-05,-1.3657350199999999e-05,0.0,0.7639173198
0.4540786826,-1.36597525e-05,-1.3657349999999999e-05,0.0,0.8877621443000001
0.4540786832,-1.36627297e-05,-1.3657349899999999e-05,0.0,0.9931286998000001
0.4540786837,-1.3666984599999999e-05,-1.3657349799999999e-05,0.0,1.0941302
0.4540786839,-1.36687265e-05,-1.3657349699999999e-05,0.0,1.1339995
0.4540786844,-1.3672231599999999e-05,-1.36573496e-05,0.0,1.2137381
0.4540786853,-1.36792265e-05,-1.36573494e-05,0.0,1.3732153
0.4540786865,-1.36885986e-05,-1.36573492e-05,0.0,1.5866076
0.45407868760000003,-1.36979675e-05,-1.36573489e-05,0.0,1.8
0.4540786877,-1.36987579e-05,-1.36573489e-05,0.0,1.8
0.4540786879,-1.37003394e-05,-1.36573489e-05,0.0,1.8
0.45407868830000003,-1.3703170399999999e-05,-1.3657348799999998e-05,0.0,1.8
0.454078689,-1.37088259e-05,-1.36573486e-05,0.0,1.8
0.45407869040000004,-1.3720105e-05,-1.36573483e-05,0.0,1.8
0.4540786933,-1.37425352e-05,-1.36573477e-05,0.0,1.8
0.454078699,-1.37868904e-05,-1.36573465e-05,0.0,1.8
0.4540787105,-1.38736351e-05,-1.3657344e-05,0.0,1.8
0.4540787334,-1.4039671200000001e-05,-1.36573393e-05,0.0,1.8
0.4540787792,-1.43448241e-05,-1.36573301e-05,0.0,1.8
0.45407887090000004,-1.48659111e-05,-1.3657313e-05,0.0,1.8
0.4540790542,-1.5651044e-05,-1.3657283499999999e-05,0.0,1.8
0.4540793508,-1.6470589700000002e-05,-1.3657246499999999e-05,0.0,1.8
0.45407972150000003,-1.7060628999999997e-05,-1.3657214099999999e-05,0.0,1.8
0.4540802005,-1.74804937e-05,-1.36571876e-05,0.0,1.8
0.4540808374,-1.7748600599999998e-05,-1.36571682e-05,0.0,1.8
0.45408173520000006,-1.79046922e-05,-1.36571561e-05,0.0,1.8
0.4540829877,-1.7966989099999997e-05,-1.36571509e-05,0.0,1.8
0.4540847884,-1.79844356e-05,-1.3657149699999999e-05,0.0,1.8
0.45408767390000004,-1.79869311e-05,-1.3657149699999999e-05,0.0,1.8
0.4540886776,-1.7991440799999997e-05,-1.3657149699999999e-05,0.0,1.8
0.4540886777,-1.79889347e-05,-1.3657149699999999e-05,0.0,1.7819999
0.4540886779,-1.79889354e-05,-1.3657149699999999e-05,0.0,1.7459999
0.45408867830000005,-1.79889371e-05,-1.3657149699999999e-05,0.0,1.6739999
0.4540886791,-1.79889392e-05,-1.3657149699999999e-05,0.0,1.5299999
0.4540886807,-1.79889316e-05,-1.3657149699999999e-05,0.0,1.2419999
0.4540886839,-1.79885947e-05,-1.3657149699999999e-05,0.0,0.6659999056
0.4540886844,-1.79884559e-05,-1.3657149699999999e-05,0.0,0.5827499186
0.4540886853,-1.79875906e-05,-1.3657149699999999e-05,0.0,0.41624994470000004
0.4540886864,-1.79856485e-05,-1.3657149699999999e-05,0.0,0.22040459469999998
0.454088687,-1.79843354e-05,-1.3657149699999999e-05,0.0,0.1102022973
0.4540886873,-1.79836606e-05,-1.3657149699999999e-05,0.0,0.05510115360000001
0.45408868760000004,-1.79829796e-05,-1.3657149699999999e-05,0.0,9.9920074e-09
0.4540886877,-1.79827549e-05,-1.3657149699999999e-05,0.0,0.0
0.4540886879,-1.79824925e-05,-1.3657149699999999e-05,0.0,0.0
