time_s,i_I56_Iout_A,v_vpre_res_V,v_vpre1_res_V
0.0168402405,-1.79885137e-05,1.6949416,1.6949416
0.0168402412,-1.79885163e-05,1.574875,1.574875
0.016840242499999998,-1.79885144e-05,1.3347416,1.3347416
0.0168402452,-1.79884281e-05,0.8544750006,0.8544750006
0.0168402459,-1.7988370299999998e-05,0.7344083339999999,0.7344083339999999
0.016840247200000002,-1.7987619899999997e-05,0.4942750008,0.4942750008
0.0168402487,-1.7985415799999996e-05,0.2297933512,0.2297933512
0.0168402493,-1.79840969e-05,0.11489667590000001,0.11489667590000001
0.0168402496,-1.79834059e-05,0.0574483379,0.0574483379
0.0168402499,-1.7982703999999997e-05,0.0,0.0
0.01684025,-1.79825185e-05,0.0,0.0
0.0168402502,-1.79822187e-05,0.0,0.0
0.0168402503,-1.79818295e-05,0.0,0.0
0.0168402507,-1.79810422e-05,0.0,0.0
0.0168402514,-1.79794448e-05,0.0,0.0
0.0168402528,-1.79761986e-05,0.0,0.0
0.016840254600000003,-1.7971730699999996e-05,0.0,0.0
0.0168402572,-1.79655659e-05,0.0,0.0
0.0168402608,-1.7957072199999998e-05,0.0,0.0
0.016840266,-1.79446146e-05,0.0,0.0
0.0168402735,-1.79265186e-05,0.0,0.0
0.0168402843,-1.79006911e-05,0.0,0.0
0.0168402997,-1.7863928e-05,0.0,0.0
0.016840321800000002,-1.78113409e-05,0.0,0.0
0.0168403537,-1.7736292e-05,0.0,0.0
0.0168403996,-1.76293847e-05,0.0,0.0
0.0168404657,-1.7478004999999998e-05,0.0,0.0
0.0168405612,-1.72653639e-05,0.0,0.0
0.0168406989,-1.69704902e-05,0.0,0.0
0.016840898,-1.6570253999999997e-05,0.0,0.0
0.0168411857,-1.60468215e-05,0.0,0.0
0.0168416014,-1.5406633e-05,0.0,0.0
0.0168422023,-1.47141023e-05,0.0,0.0
0.0168430712,-1.4114707599999998e-05,0.0,0.0
0.0168443278,-1.3754963099999998e-05,0.0,0.0
0.0168460912,-1.36680539e-05,0.0,0.0
0.016848035100000002,-1.3657227199999999e-05,0.0,0.0
0.0168505335,-1.36559241e-05,0.0,0.0
0.016854878400000002,-1.3656647799999999e-05,0.0,0.0
0.0168612395,-1.36579595e-05,0.0,0.0
0.016870495300000003,-1.3655948199999999e-05,0.0,0.0
0.0168838552,-1.36584728e-05,0.0,0.0
0.016902999300000002,-1.36557364e-05,0.0,0.0
0.016931272799999997,-1.3658598799999999e-05,0.0,0.0
0.0169733581,-1.36556656e-05,0.0,0.0
0.0170394915,-1.36586426e-05,0.0,0.0
0.0171717584,-1.36556368e-05,0.0,0.0
0.0174362921,-1.36586486e-05,0.0,0.0
0.0178791177,-1.3655638199999999e-05,0.0,0.0
0.018764768799999998,-1.3658650099999998e-05,0.0,0.0
0.020249681500000002,-1.3655638899999999e-05,0.0,0.0
0.0202496816,-1.36574081e-05,0.015008333300000001,0.015008333300000001
0.0202496817,-1.36574081e-05,0.0450249999,0.0450249999
0.020249682100000003,-1.3657408e-05,0.1050583333,0.1050583333
0.0202496827,-1.36574078e-05,0.2251249999,0.2251249999
0.0202496833,-1.36574076e-05,0.3281824112,0.3281824112
0.020249683600000002,-1.36574075e-05,0.38615105670000005,0.38615105670000005
0.020249684,-1.36574074e-05,0.44742684860000004,0.44742684860000004
0.020249684299999997,-1.36574074e-05,0.49706758079999996,0.49706758079999996
0.020249684599999998,-1.36574077e-05,0.5551799282,0.5551799282
0.0202496848,-1.36574617e-05,0.5995303915,0.5995303915
0.0202496849,-1.36575385e-05,0.6171696871000001,0.6171696871000001
0.0202496851,-1.36576991e-05,0.6411865094,0.6411865094
0.0202496851,-1.36577449e-05,0.6477358617,0.6477358617
0.0202496852,-1.36578368e-05,0.6608345663,0.6608345663
0.0202496853,-1.36580201e-05,0.686778953,0.686778953
0.0202496855,-1.3658289299999999e-05,0.7246504664000001,0.7246504664000001
0.020249685899999998,-1.3658853e-05,0.8003934932,0.8003934932
0.0202496866,-1.3660909999999999e-05,0.9259252020000001,0.9259252020000001
0.0202496872,-1.36641258e-05,1.0208446,1.0208446
0.0202496878,-1.36692248e-05,1.1384434,1.1384434
0.0202496884,-1.36740338e-05,1.2480779,1.2480779
0.020249689,-1.3678711699999998e-05,1.3547457,1.3547457
0.0202496902,-1.3688079899999999e-05,1.5680812,1.5680812
0.0202496908,-1.36931712e-05,1.6840406,1.6840406
0.0202496915,-1.3698261499999999e-05,1.8,1.8
0.020249691599999998,-1.3698920299999998e-05,1.8,1.8
0.0202496917,-1.3700238799999998e-05,1.8,1.8
0.020249692,-1.37022161e-05,1.8,1.8
0.0202496925,-1.37061685e-05,1.8,1.8
0.0202496935,-1.37140583e-05,1.8,1.8
0.0202496955,-1.3729775e-05,1.8,1.8
0.0202496995,-1.37609601e-05,1.8,1.8
0.0202497075,-1.38223556e-05,1.8,1.8
0.0202497235,-1.3941393199999999e-05,1.8,1.8
0.0202497555,-1.41655166e-05,1.8,1.8
0.020249819500000002,-1.45651404e-05,1.8,1.8
0.0202499475,-1.5212603599999998e-05,1.8,1.8
0.0202502036,-1.61092189e-05,1.8,1.8
0.0202505313,-1.67936851e-05,1.8,1.8
0.020250955900000003,-1.72968062e-05,1.8,1.8
0.0202515007,-1.7628374799999997e-05,1.8,1.8
0.0202522634,-1.7843050999999998e-05,1.8,1.8
0.020253317899999998,-1.79442862e-05,1.8,1.8
0.0202548266,-1.79793887e-05,1.8,1.8
0.0202571018,-1.7985231699999998e-05,1.8,1.8
0.0202596815,-1.79906857e-05,1.8,1.8
0.0202596816,-1.79885114e-05,1.7849916,1.7849916
0.0202596817,-1.79885121e-05,1.754975,1.754975
0.0202596821,-1.7988513799999997e-05,1.6949416,1.6949416
0.0202596827,-1.79885163e-05,1.574875,1.574875
0.0202596841,-1.79885144e-05,1.3347416,1.3347416
0.0202596867,-1.79884281e-05,0.8544750006,0.8544750006
0.0202596874,-1.7988370299999998e-05,0.7344083339999999,0.7344083339999999
0.020259688700000004,-1.7987619899999997e-05,0.4942750008,0.4942750008
0.020259690200000003,-1.7985415899999998e-05,0.2297933512,0.2297933512
0.0202596909,-1.79840969e-05,0.1148966753,0.1148966753
0.0202596912,-1.79834059e-05,0.0574483379,0.0574483379
0.0202596915,-1.7982703999999997e-05,6.245004514e-10,6.245004514e-10
0.0202596916,-1.79825185e-05,0.0,0.0
0.020259691700000002,-1.7982218799999997e-05,0.0,0.0
0.0202596919,-1.79818295e-05,0.0,0.0
0.020259692200000002,-1.79810422e-05,0.0,0.0
0.0202596929,-1.79794448e-05,0.0,0.0
0.0202596943,-1.79761986e-05,0.0,0.0
0.0202596962,-1.7971730799999998e-05,0.0,0.0
0.0202596988,-1.79655659e-05,0.0,0.0
0.0202597023,-1.7957072199999998e-05,0.0,0.0
0.0202597075,-1.79446146e-05,0.0,0.0
0.020259715,-1.79265186e-05,0.0,0.0
0.0202597258,-1.79006911e-05,0.0,0.0
0.0202597412,-1.7863928e-05,0.0,0.0
0.020259763400000002,-1.78113409e-05,0.0,0.0
0.0202597952,-1.7736292e-05,0.0,0.0
0.0202598411,-1.76293847e-05,0.0,0.0
0.020259907299999998,-1.7478004999999998e-05,0.0,0.0
0.0202600027,-1.72653639e-05,0.0,0.0
0.0202601405,-1.69704902e-05,0.0,0.0
0.020260339500000002,-1.6570253999999997e-05,0.0,0.0
0.0202606272,-1.60468215e-05,0.0,0.0
0.0202610429,-1.5406632899999998e-05,0.0,0.0
0.0202616439,-1.4714102199999999e-05,0.0,0.0
0.0202625128,-1.4114707599999998e-05,0.0,0.0
0.020263769400000003,-1.3754963099999998e-05,0.0,0.0
0.0202655328,-1.36680539e-05,0.0,0.0
0.020267476599999997,-1.3657227199999999e-05,0.0,0.0
0.0202699751,-1.36559241e-05,0.0,0.0
0.02027432,-1.3656647799999999e-05,0.0,0.0
0.020280681000000002,-1.36579595e-05,0.0,0.0
0.0202899369,-1.3655948199999999e-05,0.0,0.0
0.0203032967,-1.36584728e-05,0.0,0.0
0.020322440900000002,-1.36557364e-05,0.0,0.0
0.0203507144,-1.3658598799999999e-05,0.0,0.0
0.020392799700000002,-1.36556656e-05,0.0,0.0
0.0204589331,-1.36586426e-05,0.0,0.0
0.0205912,-1.36556368e-05,0.0,0.0
0.0208557337,-1.36586486e-05,0.0,0.0
0.021298559300000002,-1.3655638199999999e-05,0.0,0.0
0.0221842104,-1.3658650099999998e-05,0.0,0.0
0.0239444986,-1.36556335e-05,0.0,0.0
0.0239444987,-1.3657402699999999e-05,0.015008333300000001,0.015008333300000001
0.023944498800000002,-1.3657402699999999e-05,0.0450249999,0.0450249999
0.0239444992,-1.3657402599999999e-05,0.1050583333,0.1050583333
0.0239444998,-1.36574024e-05,0.2251249999,0.2251249999
0.0239445004,-1.36574022e-05,0.32818244929999996,0.32818244929999996
0.0239445007,-1.36574021e-05,0.3861510873,0.3861510873
0.0239445011,-1.3657402e-05,0.44742689550000003,0.44742689550000003
0.0239445013,-1.3657402e-05,0.4970676363,0.4970676363
0.0239445017,-1.36574023e-05,0.5551799843999999,0.5551799843999999
0.023944501899999998,-1.3657456299999999e-05,0.5995304583,0.5995304583
0.023944502,-1.36575331e-05,0.6171697633000001,0.6171697633000001
0.0239445021,-1.3657693699999998e-05,0.6411865811999999,0.6411865811999999
0.0239445022,-1.36577395e-05,0.6477359778999999,0.6477359778999999
0.0239445023,-1.3657831399999998e-05,0.6608347712,0.6608347712
0.0239445024,-1.36580147e-05,0.6867795175,0.6867795175
0.0239445026,-1.36582839e-05,0.7246516648000001,0.7246516648000001
0.023944503000000002,-1.3658847599999999e-05,0.8003959594000001,0.8003959594000001
0.023944503699999998,-1.3660904699999999e-05,0.9259216704000001,0.9259216704000001
0.0239445043,-1.3664120499999998e-05,1.0208373,1.0208373
0.0239445049,-1.36692198e-05,1.1384413,1.1384413
0.0239445055,-1.3674028399999998e-05,1.2480672,1.2480672
0.023944506100000002,-1.36787065e-05,1.3547398,1.3547398
0.0239445073,-1.36880752e-05,1.5680848,1.5680848
0.023944507900000002,-1.36931664e-05,1.6840424,1.6840424
0.0239445086,-1.36982566e-05,1.8,1.8
0.023944508700000002,-1.36989154e-05,1.8,1.8
0.0239445088,-1.37002339e-05,1.8,1.8
0.0239445091,-1.3702211299999999e-05,1.8,1.8
0.0239445096,-1.37061636e-05,1.8,1.8
0.0239445106,-1.37140533e-05,1.8,1.8
0.0239445126,-1.37297699e-05,1.8,1.8
0.0239445166,-1.37609548e-05,1.8,1.8
0.023944524600000003,-1.38223499e-05,1.8,1.8
0.0239445406,-1.39413868e-05,1.8,1.8
0.023944572600000002,-1.4165509e-05,1.8,1.8
0.0239446366,-1.45651308e-05,1.8,1.8
0.0239447646,-1.52125917e-05,1.8,1.8
0.0239450207,-1.61092058e-05,1.8,1.8
0.0239453484,-1.67936756e-05,1.8,1.8
0.023945772900000002,-1.72967994e-05,1.8,1.8
0.0239463178,-1.7628370299999998e-05,1.8,1.8
0.0239470805,-1.7843048499999998e-05,1.8,1.8
0.023948135000000002,-1.79442852e-05,1.8,1.8
0.0239496436,-1.79793884e-05,1.8,1.8
0.0239519189,-1.7985231699999998e-05,1.8,1.8
0.023954498600000002,-1.79906857e-05,1.8,1.8
0.0239544987,-1.79885114e-05,1.7849916,1.7849916
0.0239544988,-1.79885121e-05,1.754975,1.754975
0.0239544992,-1.79885137e-05,1.6949416,1.6949416
0.0239544998,-1.79885163e-05,1.574875,1.574875
0.0239545012,-1.79885144e-05,1.3347416,1.3347416
0.023954503800000002,-1.79884281e-05,0.8544750006,0.8544750006
